container,size,elem_size,ratio,test_duration,random_access,run_id,ops_per_second,actual_time_s,validation_checksum,peak_memory_kb,user_time_s,system_time_s,peak_memory_mb,error
array,10,8,0.01,3.0,1,1,30489568.0,3.0,283552982,1716,2.85,0.0,1.67578125,False
array,10,8,0.01,3.0,1,2,33002794.67,3.0,306925990,1708,2.98,0.0,1.66796875,False
array,10,512,0.01,3.0,0,0,36178910.78,3.0,217086266,1716,2.97,0.0,1.67578125,False
array,10,512,0.01,3.0,0,2,37473557.33,3.0,224841340,1756,2.95,0.0,1.71484375,False
array,10,512,0.01,3.0,1,1,33181066.67,3.0,308583920,1724,3.0,0.0,1.68359375,False
array,10,512,0.01,3.0,0,1,38168565.33,3.0,229011386,1752,2.98,0.0,1.7109375,False
array,10,512,0.01,3.0,1,0,29335341.29,3.003,273065755,1764,2.78,0.01,1.72265625,False
array,10,8388608,0.01,3.0,0,0,34296128.0,3.0,205776762,19660,2.98,0.0,19.19921875,False
array,10,8388608,0.01,3.0,0,1,35341897.55,3.0,212051452,19580,2.98,0.0,19.12109375,False
array,10,512,0.01,3.0,1,2,31466154.67,3.0,292635238,1748,2.94,0.0,1.70703125,False
array,10,8388608,0.01,3.0,0,2,35272224.0,3.0,211633340,19584,3.0,0.0,19.125,False
array,10,8388608,0.01,3.0,1,0,31576117.33,3.0,293657888,19532,3.0,0.0,19.07421875,False
array,10,8388608,0.01,3.0,1,1,31386428.9,3.0,291897387,19532,2.97,0.0,19.07421875,False
array,10,8388608,0.01,3.0,1,2,31827242.67,3.0,295993355,21664,3.0,0.0,21.15625,False
array,1000,8,0.01,3.0,0,0,38630197.33,3.0,-1105591601,1720,3.0,0.0,1.6796875,False
array,1000,8,0.01,3.0,0,1,35428736.0,3.0,919629789,1796,2.93,0.0,1.75390625,False
array,1000,8,0.01,3.0,0,2,34974016.0,3.0,1829203758,1720,2.97,0.0,1.6796875,False
array,1000,8,0.01,3.0,1,1,33464096.0,3.0,-609595087,1800,2.96,0.0,1.7578125,False
array,1000,8,0.01,3.0,1,0,34882165.33,3.0,1325066050,1796,2.97,0.0,1.75390625,False
array,1000,8,0.01,3.0,1,2,32854026.67,3.0,-848555147,1760,2.95,0.0,1.71875,False
array,1000,512,0.01,3.0,0,2,9816249.46,3.0,-210293643,2104,2.93,0.02,2.0546875,False
array,1000,512,0.01,3.0,0,1,9247724.04,3.0,-121552639,2120,2.95,0.0,2.0703125,False
array,1000,512,0.01,3.0,0,0,8034014.96,3.0,-536053964,2108,2.91,0.0,2.05859375,False
array,1000,512,0.01,3.0,1,0,11459645.62,3.0,-831577208,2108,2.98,0.0,2.05859375,False
array,1000,512,0.01,3.0,1,1,11111963.85,3.0,874688596,2088,2.95,0.0,2.0390625,False
array,1000,512,0.01,3.0,1,2,11188938.74,3.0,1449411031,2076,2.96,0.0,2.02734375,False
array,100000,8,0.01,3.0,0,0,5712062.1,3.0,-974533972,2424,2.91,0.06,2.3671875,False
array,100000,8,0.01,3.0,0,2,6642915.62,3.0,1640695712,2420,2.96,0.0,2.36328125,False
array,100000,8,0.01,3.0,0,1,5026514.57,3.0,-1765247962,2336,2.99,0.0,2.28125,False
array,100000,8,0.01,3.0,1,0,3285820.12,3.001,-1817506834,2944,2.6,0.09,2.875,False
array,100000,8,0.01,3.0,1,1,5830005.16,3.0,-121485327,2876,3.02,0.0,2.80859375,False
array,100000,8,0.01,3.0,1,2,4647023.85,3.002,-281637052,2900,2.94,0.0,2.83203125,False
array,100000,512,0.01,3.0,0,0,4486.05,3.024,3291693,51460,3.01,0.01,50.25390625,False
array,100000,512,0.01,3.0,0,1,4317.28,3.017,3209269,51580,2.96,0.03,50.37109375,False
array,100000,512,0.01,3.0,1,0,9693.31,3.021,11137209,52116,3.0,0.04,50.89453125,False
array,100000,512,0.01,3.0,0,2,4454.95,3.024,3270045,51772,3.0,0.05,50.55859375,False
array,100000,512,0.01,3.0,1,1,13041.63,3.003,16790955,52076,2.98,0.06,50.85546875,False
array,100000,512,0.01,3.0,1,2,8168.56,3.016,8873015,52036,2.98,0.09,50.81640625,False
array,10000000,8,0.01,3.0,0,0,2777.64,3.007,2009273,89344,3.22,0.14,87.25,False
array,10000000,8,0.01,3.0,0,1,2496.26,3.013,1795256,89496,3.13,0.2,87.3984375,False
array,10000000,8,0.01,3.0,0,2,2811.74,3.005,2026265,89400,3.13,0.17,87.3046875,False
array,10,8,0.1,3.0,1,0,35394848.0,3.0,191132179,1784,3.0,0.0,1.7421875,False
array,10,8,0.1,3.0,0,2,46385568.0,3.0,278313402,1752,2.98,0.0,1.7109375,False
array,10,8,0.1,3.0,0,1,43706965.33,3.0,262241786,1752,2.99,0.01,1.7109375,False
array,10,8,0.1,3.0,1,1,35097525.33,3.0,189526633,1732,2.98,0.0,1.69140625,False
array,10,8,0.1,3.0,1,2,36889301.33,3.0,199202227,1752,2.99,0.0,1.7109375,False
array,10,8,0.1,3.0,0,0,38037738.67,3.0,228226426,1704,2.97,0.0,1.6640625,False
array,10,512,0.1,3.0,0,0,39172512.0,3.0,235035066,1760,3.0,0.0,1.71875,False
array,10,512,0.1,3.0,0,2,40798005.33,3.0,244788026,1744,2.98,0.0,1.703125,False
array,10,512,0.1,3.0,0,1,39009002.67,3.0,234054012,1720,2.98,0.0,1.6796875,False
array,10,512,0.1,3.0,1,1,37643146.67,3.0,203272992,1800,3.0,0.0,1.7578125,False
array,10,512,0.1,3.0,1,0,30746889.19,3.0,166034419,1744,2.84,0.06,1.703125,False
array,10,512,0.1,3.0,1,2,31732938.67,3.0,171357865,1768,2.92,0.0,1.7265625,False
array,10,8388608,0.1,3.0,0,1,43972288.0,3.0,263833722,19660,3.0,0.01,19.19921875,False
array,10000000,8,0.01,3.0,1,1,14442.95,3.009,10837343,128504,4.8,0.33,125.4921875,False
array,10000000,8,0.01,3.0,1,0,15907.31,3.011,11987495,128480,4.6,0.32,125.46875,False
array,10,8388608,0.1,3.0,0,0,33567151.52,3.0,201422842,19616,2.88,0.01,19.15625,False
array,10,8388608,0.1,3.0,0,2,38250165.33,3.0,229500986,19616,2.97,0.01,19.15625,False
array,10,8388608,0.1,3.0,1,0,32065184.0,3.0,173151995,19660,2.99,0.01,19.19921875,False
array,10,8388608,0.1,3.0,1,1,37896737.57,3.001,204711552,19504,2.98,0.02,19.046875,False
array,10,8388608,0.1,3.0,1,2,31494293.33,3.0,170069184,19588,3.0,0.01,19.12890625,False
array,1000,8,0.1,3.0,0,0,31494666.67,3.0,2140440075,1756,3.0,0.0,1.71484375,False
array,1000,8,0.1,3.0,0,1,31620725.33,3.0,-1303346359,1796,2.99,0.0,1.75390625,False
array,1000,8,0.1,3.0,0,2,29821365.33,3.0,-573143601,1740,2.93,0.01,1.69921875,False
array,10000000,8,0.01,3.0,1,2,15959.9,3.02,12060842,128556,5.3,0.39,125.54296875,False
array,1000,8,0.1,3.0,1,2,35724981.33,3.0,547994349,1760,2.98,0.0,1.71875,False
array,1000,8,0.1,3.0,1,1,32191210.67,3.0,-1810237542,1728,2.95,0.0,1.6875,False
array,1000,8,0.1,3.0,1,0,33303754.67,3.0,1396948511,1732,2.9,0.0,1.69140625,False
array,1000,512,0.1,3.0,0,0,1338961.32,3.0,438574534,2112,2.97,0.0,2.0625,False
array,1000,512,0.1,3.0,0,1,1494386.05,3.0,1488156880,2112,3.0,0.01,2.0625,False
array,1000,512,0.1,3.0,0,2,1279215.38,3.0,35758846,2108,2.93,0.0,2.05859375,False
array,1000,512,0.1,3.0,1,0,1307450.54,3.0,223926695,2108,2.96,0.01,2.05859375,False
array,1000,512,0.1,3.0,1,1,1193364.14,3.0,-542263259,2100,2.99,0.0,2.05078125,False
array,1000,512,0.1,3.0,1,2,1301121.73,3.001,183874612,2100,3.0,0.0,2.05078125,False
array,100000,8,0.1,3.0,0,1,303817.35,3.0,1646539773,2384,2.67,0.06,2.328125,False
array,100000,8,0.1,3.0,0,0,642105.12,3.0,-367432946,2320,3.02,0.0,2.265625,False
array,100000,8,0.1,3.0,0,2,605770.46,3.0,-612074198,2456,2.98,0.02,2.3984375,False
array,100000,8,0.1,3.0,1,0,691932.08,3.0,-34530707,2852,2.99,0.0,2.78515625,False
array,100000,8,0.1,3.0,1,1,749745.26,3.0,356467377,2852,3.0,0.0,2.78515625,False
array,100000,8,0.1,3.0,1,2,698277.55,3.0,8280953,2852,2.82,0.02,2.78515625,False
array,100000,512,0.1,3.0,0,1,623.79,3.027,379545,51692,3.02,0.01,50.48046875,False
array,100000,512,0.1,3.0,0,2,310.02,3.097,191286,51776,3.07,0.02,50.5625,False
array,100000,512,0.1,3.0,1,1,726.44,3.039,502905,51940,3.02,0.05,50.72265625,False
array,100000,512,0.1,3.0,0,0,355.29,3.152,235802,51504,3.12,0.01,50.296875,False
array,100000,512,0.1,3.0,1,0,973.31,3.025,727434,52048,2.99,0.05,50.828125,False
array,100000,512,0.1,3.0,1,2,1103.67,3.015,775029,51972,3.0,0.03,50.75390625,False
array,10000000,8,0.1,3.0,0,1,301.28,3.08,182765,89296,3.33,0.04,87.203125,False
array,10000000,8,0.1,3.0,0,0,214.17,3.138,92544,89312,3.31,0.02,87.21875,False
array,10000000,8,0.1,3.0,0,2,345.44,3.057,237132,89336,3.3,0.04,87.2421875,False
array,10,8,0.5,3.0,0,0,46251253.33,3.0,166504512,1708,3.0,0.0,1.66796875,False
array,10,8,0.5,3.0,0,1,44263040.0,3.0,159346944,1792,2.93,0.02,1.75,False
array,10,8,0.5,3.0,1,0,38892074.67,3.0,-1080361791,1752,3.0,0.0,1.7109375,False
array,10,8,0.5,3.0,1,1,42308810.67,3.0,1393095303,1756,2.99,0.01,1.71484375,False
array,10,8,0.5,3.0,1,2,37842538.67,3.0,-1507452289,1720,2.97,0.0,1.6796875,False
array,10,8,0.5,3.0,0,2,45194581.33,3.0,162700488,1716,2.85,0.02,1.67578125,False
array,10,512,0.5,3.0,0,2,27444917.33,3.0,98801699,1736,2.99,0.0,1.6953125,False
array,10,512,0.5,3.0,0,1,27016565.33,3.0,97259632,1724,2.99,0.0,1.68359375,False
array,10,512,0.5,3.0,0,0,25069211.55,3.004,90375360,1776,2.74,0.09,1.734375,False
array,10,512,0.5,3.0,1,1,26264597.33,3.0,-2085414600,1764,2.98,0.0,1.72265625,False
array,10,512,0.5,3.0,1,0,27015253.33,3.0,1293618414,1792,3.01,0.0,1.75,False
array,10,512,0.5,3.0,1,2,25734391.42,3.0,-175439948,1756,2.99,0.01,1.71484375,False
array,10,8388608,0.5,3.0,1,0,62.38,3.078,272901,91528,2.88,0.17,89.3828125,False
array,10,8388608,0.5,3.0,0,2,70.64,3.171,281,91536,2.99,0.19,89.390625,False
array,10,8388608,0.5,3.0,1,1,90.2,3.193,444432,91536,2.98,0.18,89.390625,False
array,10,8388608,0.5,3.0,0,0,104.62,3.365,419,91664,3.19,0.18,89.515625,False
array,10,8388608,0.5,3.0,0,1,77.22,3.315,323,91532,3.13,0.2,89.38671875,False
array,10,8388608,0.5,3.0,1,2,92.96,3.098,444432,91608,2.91,0.14,89.4609375,False
array,1000,8,0.5,3.0,0,0,16907744.0,3.0,-1698726947,1728,2.94,0.0,1.6875,False
array,1000,8,0.5,3.0,0,2,17465860.84,3.0,369793058,1792,2.99,0.0,1.75,False
array,1000,8,0.5,3.0,0,1,17942453.33,3.0,2134895840,1760,2.98,0.0,1.71875,False
array,10000000,8,0.1,3.0,1,0,681.86,3.05,464780,128520,4.58,0.25,125.5078125,False
array,10000000,8,0.1,3.0,1,2,972.36,3.028,665430,128592,4.47,0.23,125.578125,False
array,10000000,8,0.1,3.0,1,1,726.15,3.085,499654,128564,4.61,0.22,125.55078125,False
array,1000,8,0.5,3.0,1,0,15015317.33,3.0,141978810,1744,2.94,0.02,1.703125,False
array,1000,8,0.5,3.0,1,1,15593925.47,3.0,-1999370631,1732,2.96,0.0,1.69140625,False
array,1000,8,0.5,3.0,1,2,14706304.0,3.0,-1008768075,1760,3.0,0.0,1.71875,False
array,1000,512,0.5,3.0,0,0,206452.37,3.0,762652153,2100,2.95,0.0,2.05078125,False
array,1000,512,0.5,3.0,0,1,352248.37,3.0,1303795589,2116,2.92,0.0,2.06640625,False
array,1000,512,0.5,3.0,0,2,258055.23,3.0,954379864,2156,2.94,0.02,2.10546875,False
array,1000,512,0.5,3.0,1,0,251215.14,3.0,932949811,2200,2.95,0.01,2.1484375,False
array,1000,512,0.5,3.0,1,1,251687.56,3.0,934720888,2088,2.95,0.02,2.0390625,False
array,1000,512,0.5,3.0,1,2,234032.26,3.0,869056974,2084,2.57,0.07,2.03515625,False
array,100000,8,0.5,3.0,0,0,68488.54,3.0,79297256,2336,2.99,0.0,2.28125,False
array,100000,8,0.5,3.0,0,2,144563.36,3.0,323563572,2348,2.93,0.0,2.29296875,False
array,100000,8,0.5,3.0,0,1,154372.62,3.001,359312872,2416,2.99,0.0,2.359375,False
array,100000,8,0.5,3.0,1,0,132298.31,3.0,302223489,2884,3.0,0.0,2.81640625,False
array,100000,8,0.5,3.0,1,1,135409.89,3.001,312339526,2896,2.99,0.0,2.828125,False
array,100000,8,0.5,3.0,1,2,146591.61,3.0,349237231,2900,2.97,0.01,2.83203125,False
array,100000,512,0.5,3.0,0,0,93.74,3.072,7160,51548,3.03,0.02,50.33984375,False
