Allocator,Threads,Repeats,Iterations,MinSize,MaxSize,RealTime,UserTime,SysTime,MemoryKB
Default,1,500,1000000,10,50,59.62,48.79,10.62,53248
Arena,1,500,1000000,10,50,0.29,0.04,0.01,11220
Default,1,500,1000000,10,100,87.81,70.90,16.57,77276
Arena,1,500,1000000,10,100,0.29,0.04,0.01,9332
Default,1,500,1000000,10,1000,231.79,96.98,134.07,516836
Arena,1,500,1000000,10,1000,0.3,0.04,0.00,9756
