Allocator,Threads,Repeats,Iterations,MinSize,MaxSize,RealTime,UserTime,SysTime,MemoryKB
Default,1,500,1000000,10,50,59.02,49.04,9.77,53228
Arena,1,500,1000000,10,50,0.22,0.01,0.02,11404
Default,1,500,1000000,10,100,86.6,71.13,15.14,77324
Arena,1,500,1000000,10,100,0.21,0.01,0.02,10612
Default,1,500,1000000,10,1000,225.9,96.80,128.40,516808
Arena,1,500,1000000,10,1000,0.2,0.00,0.02,9740
