Allocator,Threads,Repeats,Iterations,MinSize,MaxSize,RealTime,UserTime,SysTime,MemoryKB
Default,1,500,1000000,10,50,59.11,48.88,10.04,53228
Arena,1,500,1000000,10,50,59.06,48.72,10.14,53200
Default,1,500,1000000,10,100,86.46,70.32,15.80,77372
Arena,1,500,1000000,10,100,86.25,70.46,15.47,77280
Default,1,500,1000000,10,1000,229.47,97.99,130.78,516900
Arena,1,500,1000000,10,1000,227.5,97.40,129.39,516932
Default,2,500,1000000,10,1000,461.06,195.78,263.82,1032660
Arena,2,500,1000000,10,1000,461.1,195.55,264.12,1032844
