Program,Flag,O2 Time (s),Flag Time (s),Improvement (%)
larger_samples/npb_bt/build/npb_bt_w,-fipa-cp-clone,1.559042,1.360730,12.72
larger_samples/npb_bt/build/npb_bt_w,-floop-interchange,1.559042,1.380135,11.47
larger_samples/npb_bt/build/npb_bt_w,-floop-unroll-and-jam,1.559042,1.386809,11.04
larger_samples/npb_bt/build/npb_bt_w,-fpeel-loops,1.559042,1.371371,12.03
larger_samples/npb_bt/build/npb_bt_w,-fpredictive-commoning,1.559042,1.387272,11.01
larger_samples/npb_bt/build/npb_bt_w,-fsplit-loops,1.559042,1.387631,10.99
larger_samples/npb_bt/build/npb_bt_w,-fsplit-paths,1.559042,1.389371,10.88
larger_samples/npb_bt/build/npb_bt_w,-ftree-loop-distribution,1.559042,1.374199,11.85
larger_samples/npb_bt/build/npb_bt_w,-ftree-partial-pre,1.559042,1.362276,12.62
larger_samples/npb_bt/build/npb_bt_w,-funswitch-loops,1.559042,1.364027,12.50
larger_samples/npb_bt/build/npb_bt_w,-fvect-cost-model=dynamic,1.559042,1.358686,12.85
larger_samples/npb_bt/build/npb_bt_w,-fversion-loops-for-strides,1.559042,1.360094,12.76
