Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"mmul_gcc_-O3_-DS=2048","Baseline S=2048","","89.946000","90.486000","0.0340000","99523.200000000","18.381176","64.550000","111.460000","337.867630","Target precision of 0.15 not reached after 5 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=8","Tiling S=2048 T=8","","7.412000","6.860000","0.0260000","99560.000000000","1.027945","5.950000","8.760000","1.056670","Target precision of 0.15 not reached after 5 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=16","Tiling S=2048 T=16","","12.780000","12.240000","0.0575000","99566.000000000","1.802572","11.210000","14.640000","3.249267","Target precision of 0.15 reached after 4 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=32","Tiling S=2048 T=32","","25.200000","25.085000","0.0400000","99548.000000000","3.642463","22.100000","30.460000","13.267533","Target precision of 0.15 reached after 4 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=64","Tiling S=2048 T=64","","52.000000","51.638000","0.0300000","99540.800000000","9.766752","43.050000","65.440000","95.389450","Target precision of 0.15 not reached after 5 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=128","Tiling S=2048 T=128","","58.157500","57.872500","0.0325000","99529.000000000","8.156361","46.440000","63.870000","66.526225","Target precision of 0.15 reached after 4 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=256","Tiling S=2048 T=256","","64.354000","64.456000","0.0200000","99549.600000000","19.195951","47.290000","91.280000","368.484530","Target precision of 0.15 not reached after 5 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=512","Tiling S=2048 T=512","","72.894000","73.074000","0.0400000","99556.800000000","16.209049","52.490000","87.990000","262.733280","Target precision of 0.15 not reached after 5 runs, Cache cleared"
