Block Size (bytes),Latency (cycles),Latency (ns),Bandwidth (MB/s)
512,3.57,1.34,47778.10
1024,3.59,1.34,47589.26
2048,3.60,1.35,47443.10
4096,3.59,1.35,47568.25
8192,3.57,1.34,47870.17
16384,3.56,1.34,47936.88
32768,3.60,1.35,47353.77
65536,9.10,3.41,18762.12
131072,9.43,3.54,18091.35
262144,24.60,9.22,6937.68
524288,43.96,16.49,3882.31
1048576,47.87,17.95,3564.97
2097152,57.57,21.59,2964.57
4194304,286.42,107.41,595.87
8388608,294.11,110.29,580.30
16777216,287.48,107.80,593.68
