Block Size (bytes),Latency (cycles),Latency (ns),Bandwidth (MB/s)
512,3.67,0.87,73275.93
1024,3.73,0.89,72070.94
2048,3.73,0.89,71986.53
4096,3.74,0.89,71800.43
8192,3.76,0.89,71547.98
16384,3.73,0.89,72077.33
32768,3.77,0.90,71219.20
65536,9.00,2.14,29846.30
131072,10.52,2.51,25541.08
262144,11.62,2.77,23122.18
524288,21.36,5.09,12579.97
1048576,36.00,8.57,7465.05
2097152,42.47,10.11,6327.40
4194304,50.14,11.94,5359.21
8388608,108.45,25.83,2477.76
16777216,261.34,62.24,1028.21
